 - NewSpectrum1.txt; - NewSpectrum1.txt
400.0;0.0064
403.0;0.0085
406.0;0.0099
409.0;0.0081
412.0;0.0058
415.0;0.0046
418.0;0.0042
421.0;0.0041
424.0;0.0038
427.0;0.0034
430.0;0.0030
433.0;0.0026
436.0;0.0026
439.0;0.0027
442.0;0.0028
445.0;0.0028
448.0;0.0028
451.0;0.0028
454.0;0.0031
457.0;0.0037
460.0;0.0048
463.0;0.0069
466.0;0.0105
469.0;0.0158
472.0;0.0239
475.0;0.0362
478.0;0.0555
481.0;0.0890
484.0;0.1477
487.0;0.2294
490.0;0.3140
493.0;0.3870
496.0;0.4492
499.0;0.5048
502.0;0.5573
505.0;0.6085
508.0;0.6546
511.0;0.6992
514.0;0.7437
517.0;0.7825
520.0;0.8229
523.0;0.8540
526.0;0.8745
529.0;0.8806
532.0;0.8773
535.0;0.8784
538.0;0.8861
541.0;0.9035
544.0;0.9220
547.0;0.9506
550.0;0.9736
553.0;0.9907
556.0;1.0000
559.0;0.9895
562.0;0.9557
565.0;0.9161
568.0;0.8835
571.0;0.8549
574.0;0.8402
577.0;0.8404
580.0;0.8658
583.0;0.9085
586.0;0.9345
589.0;0.9334
592.0;0.8801
595.0;0.5944
598.0;0.2479
601.0;0.0735
604.0;0.0237
607.0;0.0096
610.0;0.0047
613.0;0.0030
616.0;0.0025
619.0;0.0023
622.0;0.0022
625.0;0.0021
628.0;0.0019
631.0;0.0020
634.0;0.0020
637.0;0.0020
640.0;0.0018
643.0;0.0017
646.0;0.0017
649.0;0.0017
652.0;0.0018
655.0;0.0018
658.0;0.0017
661.0;0.0016
664.0;0.0016
667.0;0.0017
670.0;0.0017
673.0;0.0016
676.0;0.0015
679.0;0.0015
682.0;0.0016
685.0;0.0016
688.0;0.0016
691.0;0.0015
694.0;0.0014
697.0;0.0015
700.0;0.0016
